id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Isaac;Predovic;Colton.Harris-Cassin@yahoo.com;soon clearly tank;2025-02-05T20:37:31;827;13999
2;Lambert;Kilback;Roderick_Gorczany61@gmail.com;aboard;2025-02-06T08:12:21;9342;13405
3;Marquis;Funk;Nora64@yahoo.com;kookily now;2025-02-05T23:02:06;26609;6898
4;Karen;Keebler;Maxwell96@hotmail.com;unwritten shinny dramatic;2025-02-06T02:31:42;26061;27334
5;German;Windler;Cristian.Kuphal@gmail.com;into phooey draft;2025-02-06T00:32:43;13565;19312
6;Yessenia;Johnston;Eleazar88@hotmail.com;meh shovel;2025-02-05T22:10:02;17302;8488
7;Zelda;Schiller;Agustin62@yahoo.com;mosh supposing;2025-02-06T02:49:50;21094;8305
8;Sonny;Reichert;Zoey48@hotmail.com;stage privilege um;2025-02-06T15:49:46;24159;17387
9;Shawna;Kunde;Hosea10@yahoo.com;milky;2025-02-06T12:20:36;12943;15206
10;Kade;O'Reilly-Treutel;Brycen.Brekke54@gmail.com;incidentally amid bah;2025-02-05T23:57:53;12144;4606
